product_prob,threshold,predicted_keep,store_url,product_id,title,image_url,best_prompt,best_positive_prompt,best_negative_prompt,actual_label,is_correct,notes
0.796126,0.90,0,https://thestockistshop.com,9196918964442,Zelti (Oak/Sedona),https://cdn.shopify.com/s/files/1/0635/3561/2122/files/100U251ZEL-S491-49_800x_d3a481d5-3760-4271-aff6-2d2d5ab025f0.png?v=1773791758,"a catalog image of sunglasses, belt, or hat","a catalog image of sunglasses, belt, or hat",an abstract graphic,,,
0.816008,0.90,0,https://www.themarathonclothing.com,14930017026411,Leo Skateboard T-Shirt - Black,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/LeoSkateboard-Black.png?v=1773549869,an ecommerce product photo of clothing,an ecommerce product photo of clothing,a meme,,,
0.828308,0.90,0,https://www.themarathonclothing.com,14930023350635,Marathon Burger Venice Tote Bag - White,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/Tote-Venice.png?v=1773551017,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a store logo,,,
0.838145,0.90,0,https://thestockistshop.com,8829088465114,Rhyme (Recycled Black/Agave),https://cdn.shopify.com/s/files/1/0635/3561/2122/files/100U251RHY-S482-51_A1_800x_2b2383ba-1771-4460-934d-abf913f3b6ef.png?v=1743643062,"a catalog image of sunglasses, belt, or hat","a catalog image of sunglasses, belt, or hat",a meme,,,
0.839391,0.90,0,https://www.everjean.com,9308351234294,Pinch Me - Retro,https://cdn.shopify.com/s/files/1/2316/5449/files/RT3_540x_c5420491-40da-479a-92a8-471caea6d5bb.webp?v=1773417151,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a store logo,,,
0.849833,0.90,0,https://deanaccessories.net,7558942982278,Plant holder acrylic & leather,https://cdn.shopify.com/s/files/1/0168/4726/files/FullSizeRender_86dcb704-a316-4383-98dd-123246c398a1.heic?v=1773008726,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a meme,,,
0.875708,0.90,0,https://ajs-jewelers.myshopify.com,8075824234668,Sterling Silver Diamond Cut 3D Name Necklace with One Heart,https://cdn.shopify.com/s/files/1/0593/9875/0380/files/CHRISTINA_3D_WHITE_e06d47e1-108e-46f4-98f1-d92ecd66772d.jpg?v=1727924337,"a catalog image of necklace, ring, bracelet, or earrings","a catalog image of necklace, ring, bracelet, or earrings",a store logo,,,
0.891147,0.90,0,https://39mine.com,7249855479941,Ravello Coverup,https://cdn.shopify.com/s/files/1/0304/1863/2837/files/C8623EFD-BB28-498B-9B4C-6BB4226FA6F4.jpg?v=1773339119,a fashion product image with a model,a fashion product image with a model,a meme,,,
0.892767,0.90,0,https://thestockistshop.com,9196876103898,Rhyme (Caramel/Drift Polarized),https://cdn.shopify.com/s/files/1/0635/3561/2122/files/100U251RHY-S967-51_800x_0bfe438b-4fbc-420b-89dd-de36f3e044f6.png?v=1773791174,a fashion product image with a model,a fashion product image with a model,a meme,,,
0.892782,0.90,0,https://39mine.com,7250828296325,Madison Maxi Dress,https://cdn.shopify.com/s/files/1/0304/1863/2837/files/1a263e5c90996ee369609dda13a66379c5063bb4b22a3d784538f30130166a9f.webp?v=1773778100,an ecommerce product photo of clothing,an ecommerce product photo of clothing,a meme,,,
0.895882,0.90,0,https://ajs-jewelers.myshopify.com,8075825381548,Sterling Silver Two Name 3D Name Necklace,https://cdn.shopify.com/s/files/1/0593/9875/0380/files/ALBERT-JANELLE_WHITE_2b031c92-938f-40a3-8dd3-dca455d6629c.jpg?v=1727924478,"a catalog image of necklace, ring, bracelet, or earrings","a catalog image of necklace, ring, bracelet, or earrings",a store logo,,,
